incident,prefix,origin_asn,starttime,endtime,expected_victim_asn,expected_suspect_asn
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-18T00:00:00,2022-02-18T07:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-18T08:00:00,2022-02-18T23:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-19T00:00:00,2022-02-20T23:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-21T00:00:00,2022-02-23T07:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-23T08:00:00,2022-02-23T23:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-24T00:00:00,2022-02-25T23:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,197726,2022-02-26T00:00:00,2022-02-28T15:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,210512,2022-03-01T00:00:00,2022-03-01T23:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,210512,2022-03-02T00:00:00,2022-03-02T07:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,210512,2022-03-02T16:00:00,2022-03-09T07:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,210512,2022-03-09T08:00:00,2022-03-09T15:59:59,AS210512,
twitter_blackhole_leak_2022,45.89.72.0/22,210512,2022-03-09T16:00:00,2022-03-10T07:59:59,AS210512,
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-21T00:00:00,2022-07-21T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-21T16:00:00,2022-07-22T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-23T00:00:00,2022-07-25T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-25T16:00:00,2022-07-26T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-27T00:00:00,2022-07-27T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-27T16:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-28T00:00:00,2022-07-28T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/8,714,2022-07-28T16:00:00,2022-07-31T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-21T00:00:00,2022-07-21T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-21T16:00:00,2022-07-22T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-23T00:00:00,2022-07-25T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-25T16:00:00,2022-07-26T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-27T00:00:00,2022-07-27T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-27T16:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-28T00:00:00,2022-07-28T15:59:59,AS714,AS12389
apple_rostelecom_2022,17.0.0.0/9,714,2022-07-28T16:00:00,2022-07-31T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.96.0/21,714,2022-07-27T08:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.96.0/21,714,2022-07-28T00:00:00,2022-07-28T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.104.0/21,714,2022-07-27T08:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.104.0/21,714,2022-07-28T00:00:00,2022-07-28T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.112.0/21,714,2022-07-27T08:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.112.0/21,714,2022-07-28T00:00:00,2022-07-28T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.120.0/21,714,2022-07-27T08:00:00,2022-07-27T23:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.120.0/21,714,2022-07-28T00:00:00,2022-07-28T07:59:59,AS714,AS12389
apple_rostelecom_2022,17.70.96.0/19,12389,2022-07-27T00:00:00,2022-07-27T15:59:59,AS714,AS12389
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-17T00:00:00,2022-04-20T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-21T00:00:00,2022-04-21T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-21T08:00:00,2022-04-22T15:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-23T00:00:00,2022-04-25T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-26T00:00:00,2022-04-26T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-26T08:00:00,2022-04-29T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-04-30T00:00:00,2022-04-30T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-02T00:00:00,2022-05-04T15:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-04T16:00:00,2022-05-04T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-05T00:00:00,2022-05-05T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-05T08:00:00,2022-05-05T15:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-05T16:00:00,2022-05-06T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-06T08:00:00,2022-05-06T15:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-07T00:00:00,2022-05-09T15:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-09T16:00:00,2022-05-09T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-10T00:00:00,2022-05-11T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-12T00:00:00,2022-05-12T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-12T08:00:00,2022-05-12T23:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-13T00:00:00,2022-05-13T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-13T08:00:00,2022-05-14T07:59:59,AS47598,AS201776
kherson_reroute_2022,91.206.110.0/23,47598,2022-05-14T08:00:00,2022-05-17T07:59:59,AS47598,AS201776
